,Angle,Intensity,class,pos,sample,search
425,54.8502,0.0024100000000000002,Ag2Se,8472,16,min
426,57.0502,58.31264,Ag2Se,8912,16,max
427,59.6152,0.00124,Ag2Se,9425,16,min
428,66.9302,203.64551,Ag2Se,10888,16,max
429,69.3152,0.00635,Ag2Se,11365,16,min
430,71.5902,140.95629,Ag2Se,11820,16,max
431,73.7252,0.006670000000000001,Ag2Se,12247,16,min
432,76.1252,165.79259,Ag2Se,12727,16,max
433,82.7402,0.0007599999999999999,Ag2Se,14050,16,min
434,89.3302,145.72454,Ag2Se,15368,16,max
435,95.5702,0.0009199999999999999,Ag2Se,16616,16,min
436,102.4952,118.00643000000001,Ag2Se,18001,16,max
437,104.9152,0.00804,Ag2Se,18485,16,min
438,107.0002,58.065380000000005,Ag2Se,18902,16,max
439,109.2102,0.00689,Ag2Se,19344,16,min
440,111.6152,68.49275,Ag2Se,19825,16,max
441,118.4402,0.0006,Ag2Se,21190,16,min
442,126.6152,37.23235,Ag2Se,22825,16,max
443,136.2952,0.0013599999999999999,Ag2Se,24761,16,min
444,145.5402,33.25334,Ag2Se,26610,16,max
445,155.5402,0.00039,Ag2Se,28610,16,min
446,10.47085,0.0,Ag2Se,0,17,min
447,20.46585,6.000369999999999,Ag2Se,1999,17,max
448,21.97585,0.00061,Ag2Se,2301,17,min
449,23.85085,7.000319999999999,Ag2Se,2676,17,max
450,25.08585,0.00063,Ag2Se,2923,17,min
451,27.56585,16.00153,Ag2Se,3419,17,max
452,28.20085,0.00449,Ag2Se,3546,17,min
453,29.15085,20.00984,Ag2Se,3736,17,max
454,29.40585,0.03404,Ag2Se,3787,17,min
455,29.86585,100.00492,Ag2Se,3879,17,max
456,30.42585,0.026969999999999997,Ag2Se,3991,17,min
457,30.95585,85.00438,Ag2Se,4097,17,max
458,32.11085,0.00583,Ag2Se,4328,17,min
459,32.94585,31.00191,Ag2Se,4495,17,max
460,34.17085,0.00286,Ag2Se,4740,17,min
461,35.58585,33.01283,Ag2Se,5023,17,max
462,36.64585,0.005379999999999999,Ag2Se,5235,17,min
463,37.08585,2.57936,Ag2Se,5323,17,max
464,37.33585,0.009290000000000001,Ag2Se,5373,17,min
465,37.93585,34.005140000000004,Ag2Se,5493,17,max
466,38.29585,0.027039999999999998,Ag2Se,5565,17,min
467,38.67585,35.01404,Ag2Se,5641,17,max
468,39.43585,0.01162,Ag2Se,5793,17,min
469,39.99585,25.012729999999998,Ag2Se,5905,17,max
470,41.05085,0.005,Ag2Se,6116,17,min
471,41.59085,7.00275,Ag2Se,6224,17,max
472,42.08585,0.0053,Ag2Se,6323,17,min
473,43.17585,23.02848,Ag2Se,6541,17,max
474,43.57585,0.017419999999999998,Ag2Se,6621,17,min
475,43.79085,4.00789,Ag2Se,6664,17,max
476,44.00585,0.01495,Ag2Se,6707,17,min
477,44.29585,10.00334,Ag2Se,6765,17,max
478,44.76085,0.0061,Ag2Se,6858,17,min
479,45.10085,4.002280000000001,Ag2Se,6926,17,max
480,45.48085,0.004229999999999999,Ag2Se,7002,17,min
481,45.83085,2.78681,Ag2Se,7072,17,max
482,46.45085,0.00173,Ag2Se,7196,17,min
483,47.24085,6.00065,Ag2Se,7354,17,max
484,48.08585,0.00128,Ag2Se,7523,17,min
485,50.42085,9.0039,Ag2Se,7990,17,max
486,50.97585,0.01626,Ag2Se,8101,17,min
487,51.20085,6.00303,Ag2Se,8146,17,max
488,51.76585,0.00324,Ag2Se,8259,17,min
489,52.32585,6.000769999999999,Ag2Se,8371,17,max
490,53.59085,0.00075,Ag2Se,8624,17,min
491,55.67085,4.00096,Ag2Se,9040,17,max
492,56.01585,0.00504,Ag2Se,9109,17,min
493,56.34085,2.86119,Ag2Se,9174,17,max
494,57.35585,0.0033399999999999997,Ag2Se,9377,17,min
495,58.03085,9.012,Ag2Se,9512,17,max
496,68.03085,0.0,Ag2Se,11512,17,min
497,10.47085,0.0,Ag2Se,0,18,min
498,20.46585,6.000369999999999,Ag2Se,1999,18,max
